note,start,dur
145.859,140,12
100.901,157,14
98.359,177,11
98.822,194,10
98.124,208,12
97.953,227,24
83.209,255,8
110.731,276,8
86.94,293,15
87.11,309,10
87.839,331,11
87.505,346,11
83.82,371,30
145.76,419,11
97.968,435,13
96.772,451,14
98.86,471,11
97.233,485,46
84.184,541,6
145.262,552,12
87.132,570,32
87.32,615,32
86.603,648,14
84.461,664,12
91.199,707,6
93.094,717,32
93.299,751,34
93.81,786,23
98.39,847,12
98.474,867,10
97.782,886,10
98.303,899,15
98.085,916,18
146.069,969,10
98.344,984,18
99.121,1003,14
98.201,1024,8
97.928,1039,11
98.843,1056,8
98.336,1066,7
82.917,1081,9
196.897,1095,9
122.963,1109,13
164.17,1126,29
163.248,1157,15
163.908,1179,10
164.061,1192,30
165.204,1230,12
246.735,1244,18
163.711,1263,11
165.152,1277,18
164.365,1301,11
167.023,1314,4
163.534,1319,7
163.355,1330,31
146.216,1385,10
98.177,1400,14
98.184,1422,12
98.756,1438,11
99.882,1454,10
96.175,1473,24
145.701,1525,10
97.498,1540,10
97.647,1555,17
99.592,1575,13
98.133,1590,10
98.149,1608,20
145.092,1662,4
130.224,1678,14
130.179,1698,9
130.683,1714,10
130.587,1731,11
130.365,1747,20
98.231,1800,7
98.12,1808,5
130.981,1815,11
130.615,1833,11
131.17,1848,14
130.782,1868,11
130.582,1887,16
145.789,1935,11
98.286,1953,11
99.22,1971,11
99.346,1988,12
99.369,2005,10
98.356,2019,23
146.015,2075,11
98.109,2095,12
98.446,2113,29
98.274,2144,11
97.527,2160,21
109.57,2214,17
146.767,2233,11
146.484,2249,11
146.517,2267,12
147.067,2284,12
146.4,2301,18
219.663,2350,15
146.093,2367,13
145.915,2383,14
146.789,2401,14
146.882,2421,11
146.04,2435,20
145.965,2487,15
97.653,2506,10
98.158,2523,12
96.741,2538,12
97.537,2557,8
98.904,2570,22
85.084,2594,11
146.006,2626,16
98.508,2643,11
100.54,2657,13
99.058,2675,9
97.872,2691,10
97.785,2715,8
97.562,2724,13
144.444,2764,7
130.311,2778,15
130.601,2799,11
131.068,2817,11
130.249,2831,11
130.524,2851,18
110.325,2903,12
147.406,2916,14
148.052,2939,8
148.209,2953,12
147.718,2968,17
147.768,2987,17
145.418,3037,11
96.849,3053,13
98.153,3073,8
101.743,3082,5
98.565,3091,13
97.386,3106,14
98.239,3127,17
145.356,3178,11
97.885,3195,11
98.876,3213,15
98.238,3231,10
98.927,3245,14
99.206,3264,12
123.334,3318,14
163.996,3334,13
162.926,3349,11
164.682,3369,12
163.482,3382,52
247.237,3451,16
163.148,3469,14
163.629,3486,14
163.394,3504,15
163.281,3523,31
162.134,3559,12
146.372,3591,11
98.293,3606,14
97.207,3624,17
98.758,3644,10
98.148,3659,9
98.578,3679,16
83.899,3701,8
144.889,3728,9
98.247,3747,7
97.608,3762,9
97.244,3772,5
98.079,3782,11
98.39,3798,13
97.334,3812,24
97.826,3871,13
130.808,3888,10
131.098,3907,6
130.925,3921,10
130.631,3937,11
130.593,3955,21
121.835,3980,4
98,4006,11
130.879,4022,13
130.818,4040,11
130.478,4058,13
130.651,4077,11
129.554,4090,31
145.576,4145,10
98.18,4159,10
98.123,4176,16
98.007,4195,9
97.903,4211,13
98.434,4227,24
82.568,4256,5
95.849,4271,4
139.914,4282,11
97.957,4298,11
98.369,4317,12
98.961,4334,9
98.64,4349,15
98.209,4368,21
111.909,4421,14
147.249,4438,15
147.187,4459,8
147.255,4472,12
147.599,4491,12
146.543,4509,13
219.293,4560,13
146.171,4574,13
146.499,4592,14
147.2,4609,12
146.233,4627,11
145.926,4645,11
147.511,4662,15
151.348,4684,5
145.872,4694,12
98.472,4714,8
98.633,4731,13
97.997,4748,13
99.757,4767,10
98.186,4782,15
96.89,4798,12
88.384,4850,12
87.566,4869,13
87.899,4888,8
86.77,4903,7
86.052,4920,30
83.943,4953,12
143.593,4970,8
97.995,4986,8
98.47,5002,11
98.765,5015,15
98.165,5034,14
100.494,5052,4
97.796,5057,13
110.175,5106,14
146.864,5123,13
146.759,5142,11
147.184,5158,12
146.989,5174,10
146.727,5188,16
294.901,5210,11
170.994,5223,16
146.459,5242,13
98.241,5257,16
98.551,5277,12
98.655,5296,8
98.273,5310,11
97.499,5334,12
82.776,5352,12
145.701,5381,12
97.744,5396,11
98.073,5415,14
98.973,5431,13
97.949,5447,13
96.441,5470,12
82.492,5486,6
90.333,5499,4
109.73,5519,15
146.787,5537,12
146.783,5557,9
146.229,5571,13
147.154,5589,11
146.623,5604,18
110.16,5658,13
147.301,5675,14
146.996,5692,11
146.914,5711,14
146.685,5730,29
152.38,5769,9
109.984,5796,14
147.428,5814,14
146.829,5832,10
147.066,5849,16
146.768,5867,32
110.146,5933,16
147.494,5953,12
147.244,5973,24
147.438,6002,15
146.885,6021,14
145.623,6072,9
98.071,6088,12
98.399,6104,10
99.851,6122,12
98.463,6135,15
98.215,6160,13
146.082,6209,11
99.076,6227,8
98.397,6242,11
100.148,6257,13
98.364,6276,13
97.881,6296,13
82.302,6314,4
79.997,6329,8
145.619,6348,12
98.534,6364,13
98.565,6380,13
98.304,6399,10
97.512,6413,33
83.6,6451,12
145.015,6484,10
98.105,6501,11
98.213,6518,11
98.59,6537,9
97.861,6552,15
98.143,6570,16
85.21,6590,4
87.435,6595,4
97.811,6622,18
131.272,6644,9
130.658,6661,7
130.914,6676,12
129.896,6696,7
130.583,6712,9
130.061,6722,4
117.918,6733,5
97.895,6763,12
130.289,6781,10
130.74,6800,8
130.312,6815,11
130.341,6833,10
130.659,6854,11
118.258,6872,5
110.031,6900,16
147.686,6919,13
148.342,6937,11
147.501,6951,15
147.275,6971,9
147.272,6988,24
109.915,7039,15
147.202,7056,12
147.375,7074,12
147.426,7089,15
147.142,7109,11
147.522,7123,22
145.862,7180,10
97.518,7194,11
98.125,7211,14
97.927,7230,9
98.275,7246,12
98.284,7262,21
110.256,7313,18
146.76,7333,11
146.367,7350,9
147.381,7366,13
146.426,7386,29
146.104,7446,14
99.137,7465,12
98.101,7482,31
99.245,7516,5
98.596,7522,11
98.388,7537,15
146.164,7586,11
99.128,7604,12
98.39,7620,16
97.91,7642,7
98.348,7656,10
97.74,7679,8
123.357,7726,14
163.702,7743,12
163.59,7761,11
164.654,7775,18
163.978,7796,12
163.048,7810,31
165.278,7846,14
244.32,7862,15
163.679,7879,13
163.894,7897,16
163.362,7915,13
162.833,7931,21
163.269,7953,12
160.747,7967,5
164.256,7982,16
146.009,7999,17
98.856,8019,12
98.085,8036,12
102.886,8057,8
99.738,8074,10
97.513,8089,15
145.527,8138,13
98.244,8153,15
97.857,8171,16
96.097,8190,10
98.541,8206,14
97.333,8229,11
82.539,8252,13
97.787,8278,12
130.569,8296,7
130.506,8311,10
130.674,8328,15
130.335,8349,11
129.905,8363,17
115.318,8384,6
97.112,8413,11
97.896,8425,7
131.551,8433,11
128.589,8449,4
130.538,8454,7
130.376,8467,11
129.999,8489,9
130.879,8499,16
112.655,8523,5
146.097,8552,12
99.004,8567,13
98.13,8587,12
99.138,8603,10
98.159,8619,11
98.078,8635,17
85.998,8658,8
145.802,8688,15
97.896,8709,6
98.309,8721,13
98.152,8739,11
97.333,8755,15
98.389,8779,14
76.82,8808,6
49.078,8816,5
109.737,8826,21
147.422,8850,10
146.424,8863,12
146.4,8880,15
146.595,8901,10
146.237,8916,18
220.135,8968,11
146.218,8982,12
145.9,8999,15
146.4,9018,12
146.359,9033,15
145.597,9052,16
146.216,9100,13
98.554,9118,13
98.626,9137,14
98.648,9154,11
98.165,9170,16
98.005,9189,15
145.888,9240,12
98.604,9258,10
99.083,9273,14
100.947,9294,10
100.978,9312,15
97.605,9328,18
97.654,9377,19
130.9,9400,6
130.439,9413,11
130.284,9431,11
130.586,9449,10
130.338,9465,15
125.014,9485,4
110.048,9514,15
148.143,9535,10
147.797,9550,11
147.517,9566,16
147.742,9589,7
147.586,9597,25
146.016,9651,14
98.195,9669,9
97.528,9686,10
98.955,9706,9
98.076,9719,11
97.752,9732,5
97.62,9740,15
144.353,9787,15
97.589,9805,9
98.743,9823,13
99.04,9840,13
97.728,9856,12
98.681,9876,13
123.635,9927,12
163.623,9942,15
163.993,9963,11
164.038,9978,14
163.871,9994,12
163.862,10009,42
165.552,10052,9
247.612,10062,15
163.418,10079,14
163.245,10100,7
162.574,10113,8
168.029,10122,6
163.997,10132,42
146.381,10200,13
98.138,10215,15
98.7,10236,12
98.473,10253,11
98.477,10267,10
98.282,10291,15
143.063,10338,10
98.07,10355,11
97.588,10373,10
